"(m) L M S 3rd 5th 10th 25th 50th 75th 90th 95th 97th"
"0 -2.257671 34.70079 4.50E-02 32.11331 32.40393 32.8687 33.69633 34.70079 35.80985 36.91381 37.63012 38.12035"
"1 -2.037097 36.53206 4.45E-02 33.81544 34.12293 34.61347 35.48323 36.53206 37.68109 38.81498 39.54525 40.04248"
"2 -1.805035 38.25885 0.0439623 35.42113 35.74493 36.26014 37.16952 38.25885 39.44274 40.60089 41.34127 41.84286"
"3 -1.551965 39.80833 4.34E-02 36.86194 37.20107 37.73916 38.68426 39.80833 41.01969 42.19402 42.93905 43.44123"
"4 -1.270857 41.14749 4.29E-02 38.1064 38.45979 39.01874 39.99517 41.14749 42.37807 43.55965 44.30337 44.80204"
"5 -0.9632826 42.27169 4.23E-02 39.15009 39.51661 40.09434 41.0976 42.27169 43.51349 44.69399 45.43102 45.92258"
"6 -0.6349689 43.19625 4.18E-02 40.00755 40.38611 40.98058 42.00637 43.19625 44.44224 45.61474 46.34083 46.82256"
"7 -0.293523 43.94557 4.12E-02 40.70197 41.09149 41.70076 42.74514 43.94557 45.18996 46.34919 47.06138 47.5315"
"8 4.95E-02 44.55607 4.07E-02 41.26802 41.66747 42.28974 43.34927 44.55607 45.79476 46.93754 47.63436 48.09215"
"9 0.3803295 45.06388 4.01E-02 41.74032 42.14862 42.78214 43.85383 45.06388 46.29441 47.41954 48.10091 48.54665"
"10 0.686585 45.49584 3.96E-02 42.1448 42.56075 43.20374 44.28486 45.49584 46.717 47.82472 48.49152 48.92611"
"11 0.9587952 45.86969 3.91E-02 42.49876 42.92105 43.57162 44.6596 45.86969 47.08111 48.17252 48.82618 49.25087"
"12 1.190907 46.19546 3.87E-02 42.81204 43.23921 43.8954 44.98772 46.19546 47.3972 48.47384 49.11599 49.53216"
"13 1.379811 46.47982 3.82E-02 43.09108 43.52162 44.18143 45.27568 46.47982 47.67223 48.73582 49.36813 49.77713"
"14 1.525233 46.73185 0.037802 43.34407 43.77654 44.43812 45.53221 46.73185 47.91553 48.9679 49.59204 49.99518"
"15 1.62778 46.95858 3.74E-02 43.57714 44.01022 44.67189 45.76402 46.95858 48.13437 49.17739 49.795 50.19353"
"16 1.688837 47.16539 3.71E-02 43.79484 44.22731 44.88761 45.97627 47.16539 48.33421 49.36977 49.98241 50.37753"
"17 1.710789 47.35796 3.67E-02 44.0019 44.43274 45.09041 46.1744 47.35796 48.52086 49.55082 50.15998 50.55279"
"18 1.695824 47.53992 3.64E-02 44.20115 44.62947 45.28347 46.36186 47.53992 48.698 49.72417 50.33129 50.72286"
"19 1.646329 47.71169 3.62E-02 44.39247 44.81752 45.46696 46.539 47.71169 48.86605 49.89013 50.49654 50.88786"
"20 1.565903 47.86945 3.59E-02 44.57175 44.99288 45.63702 46.70203 47.86945 49.02097 50.04444 50.65131 51.04323"
"21 1.458943 48.00896 3.57E-02 44.73453 45.15122 45.78941 46.84681 48.00896 49.15833 50.18235 50.79062 51.18387"
"22 1.32998 48.12736 3.55E-02 44.87767 45.28951 45.92125 46.97053 48.12736 49.27508 50.30058 50.911 51.30614"
"23 1.181292 48.22566 3.53E-02 45.00176 45.40843 46.03334 47.07413 48.22566 49.37223 50.40005 51.01335 51.41093"
"24 1.014017 48.30654 3.52E-02 45.10906 45.51034 46.12815 47.16021 48.30654 49.45249 50.48356 51.10047 51.50106"
"25 0.8283504 48.37608 3.51E-02 45.20514 45.60089 46.21142 47.23468 48.37608 49.52212 50.5575 51.17888 51.58313"
"26 0.6244437 48.4424 3.50E-02 45.29749 45.68765 46.29088 47.30547 48.4424 49.58945 50.63043 51.25729 51.66594"
"27 0.4032236 48.51225 3.49E-02 45.39234 45.77694 46.37296 47.37915 48.51225 49.66137 50.70938 51.34282 51.75671"
"28 0.1668892 48.5889 3.48E-02 45.49264 45.87179 46.46075 47.45895 48.5889 49.74117 50.79764 51.43878 51.85876"
"29 -8.06E-02 48.67299 0.0347803 45.5988 45.97268 46.55486 47.54552 48.67299 49.82941 50.89564 51.54551 51.97235"
