Length/height L M S 3rd 5th 10th 25th 50th 75th 90th 95th 97th
55 -0.1600882 4.17039 0.1553799 3.134288 3.246321 3.428045 3.758714 4.17039 4.635299 5.105814 5.413859 5.625466
56 -3.49E-02 4.481163 0.1559384 3.347071 3.471296 3.671988 4.034556 4.481163 4.979128 5.476279 5.798118 6.01756
57 7.47E-02 4.806469 0.155934 3.573069 3.709832 3.929922 4.324825 4.806469 5.337342 5.861023 6.196761 6.424238
58 0.1689286 5.136801 0.1554208 3.806279 3.955479 4.194704 4.621233 5.136801 5.699297 6.248446 6.59762 6.832952
59 0.2491175 5.465156 0.1544679 4.042327 4.203503 4.461059 4.917645 5.465156 6.057217 6.630133 6.991903 7.234657
60 0.3165111 5.787066 0.1531474 4.27849 4.450918 4.725618 5.21012 5.787066 6.406219 7.000888 7.374234 7.623849
61 0.3718814 6.099837 0.1515274 4.513209 4.695964 4.986344 5.496247 6.099837 6.743447 7.357798 7.741683 7.997591
62 0.4153289 6.402017 0.1496771 4.745691 4.937698 5.242096 5.774662 6.402017 7.06752 7.699644 8.093166 8.354895
63 0.4470271 6.693578 0.1476617 4.975936 5.176048 5.492735 6.045215 6.693578 7.378655 8.026955 8.42942 8.696636
64 0.4673859 6.975386 0.1455332 5.204419 5.41149 5.738768 6.308538 6.975386 7.678031 8.341228 8.752148 9.024655
65 0.4778304 7.248506 0.1433381 5.431362 5.644345 5.980672 6.565383 7.248506 7.967006 8.644051 9.063044 9.340701
66 0.4803089 7.513828 0.1411166 5.656616 5.874612 6.218668 6.816315 7.513828 8.246717 8.936695 9.363415 9.646083
67 0.47766 7.771465 0.138904 5.879145 6.101448 6.452189 7.061152 7.771465 8.517408 9.219369 9.653368 9.940811
68 0.4729766 8.021442 0.136728 6.097787 6.323907 6.680584 7.299639 8.021442 8.7792 9.492092 9.932779 10.22463
69 0.468624 8.263862 0.134613 6.311595 6.54122 6.903337 7.531609 8.263862 9.032314 9.755065 10.20177 10.49757
70 0.4640717 8.498915 0.1325928 6.520223 6.753086 7.120227 7.757011 8.498915 9.277247 10.00911 10.46137 10.76083
71 0.4587368 8.727262 0.1306953 6.723729 6.959615 7.331458 7.97624 8.727262 9.514991 10.25558 10.71319 11.01617
72 0.4525343 8.949825 0.1289334 6.922452 7.16121 7.537535 8.189987 8.949825 9.746718 10.49588 10.95879 11.26528
73 0.445814 9.167773 0.1273079 7.116997 7.358549 7.739251 8.399228 9.167773 9.973779 10.73152 11.19975 11.50978
74 0.4385943 9.382442 0.1258105 7.308341 7.552654 7.937694 8.605166 9.382442 10.19765 10.96411 11.43777 11.75141
75 0.4306853 9.59481 0.1244225 7.497422 7.744464 8.133806 8.808758 9.59481 10.41933 11.19469 11.67391 11.99128
76 0.4216655 9.80504 0.1231228 7.684673 7.934373 8.327924 9.010248 9.80504 10.63894 11.42333 11.90825 12.22943
77 0.4116049 10.013 0.1219024 7.870016 8.122297 8.519955 9.209531 10.013 10.8563 11.64983 12.14054 12.46563
