"Age"
"(m) L M S 3rd 5th 10th 25th 50th 75th 90th 95th 97th"
"0 -2.503701 34.52737 4.88E-02 31.7873 32.09011 32.57684 33.45146 34.52737 35.7352 36.96 37.7677 38.32674"
"1 -2.225385 36.02257 4.85E-02 33.15373 33.47381 33.98678 34.90368 36.02257 37.26606 38.51265 39.32639 39.8856"
"2 -1.946316 37.46288 4.81E-02 34.46878 34.80608 35.345 36.30311 37.46288 38.73907 40.00431 40.82231 41.3807"
"3 -1.666529 38.80659 4.77E-02 35.69413 36.0482 36.61217 37.60931 38.80659 40.11121 41.39082 42.21054 42.76662"
"4 -1.387063 40.02756 4.73E-02 36.80594 37.17606 37.76372 38.79696 40.02756 41.35563 42.64481 43.4635 44.01566"
"5 -1.109778 41.11152 4.69E-02 37.79148 38.1767 38.78634 39.85223 41.11152 42.45782 43.75177 44.56677 45.11346"
"6 -0.8365179 42.05598 4.65E-02 38.64886 39.04809 39.67783 40.7727 42.05598 43.41544 44.70971 45.51867 46.05856"
"7 -0.5688999 42.8661 4.62E-02 39.38322 39.79531 40.44321 41.56338 42.8661 44.23405 45.52475 46.32568 46.85773"
"8 -0.3078383 43.55234 4.58E-02 40.00447 40.42829 41.09243 42.23438 43.55234 44.92461 46.20845 46.99977 47.5232"
"9 -5.48E-02 44.12904 4.54E-02 40.52617 40.96059 41.63915 42.79959 44.12904 45.50211 46.77648 47.55709 48.0714"
"10 0.1881263 44.61362 4.50E-02 40.96476 41.40873 42.09998 43.27593 44.61362 45.98469 47.24776 48.01702 48.52204"
"11 0.4193889 45.02317 4.46E-02 41.33632 41.78881 42.49116 43.67995 45.02317 46.39008 47.64067 48.39836 48.89414"
"12 0.6376524 45.37192 4.42E-02 41.6542 42.11424 42.82619 44.02544 45.37192 46.73304 47.9705 48.71666 49.20347"
"13 0.8415571 45.6717 4.39E-02 41.92958 42.39622 43.11634 44.32389 45.6717 47.02584 48.24993 48.98486 49.46309"
"14 1.030705 45.93101 4.35E-02 42.17039 42.6427 43.36964 44.58351 45.93101 47.27729 48.48799 49.2121 49.68218"
"15 1.20485 46.15697 4.31E-02 42.38326 42.86034 43.59282 44.81118 46.15697 47.49477 48.69225 49.40602 49.86843"
"16 1.363833 46.35577 4.27E-02 42.57391 43.05487 43.79167 45.01289 46.35577 47.68465 48.86925 49.57321 50.02844"
"17 1.50768 46.53181 4.23E-02 42.74633 43.23035 43.9703 45.19286 46.53181 47.85147 49.02361 49.71831 50.16685"
"18 1.636287 46.68925 4.20E-02 42.90436 43.3906 44.13261 45.35511 46.68925 47.99957 49.15973 49.84576 50.2881"
"19 1.749494 46.83193 4.16E-02 43.05145 43.53912 44.28215 45.50331 46.83193 48.13288 49.28163 49.9596 50.39623"
"20 1.847589 46.96207 4.13E-02 43.18953 43.67789 44.42095 45.63961 46.96207 48.2537 49.39163 50.06213 50.49353"
"21 1.931128 47.08033 0.0408943 43.31905 43.80736 44.54952 45.7646 47.08033 48.36269 49.49035 50.15392 50.58051"
"22 2.00085 47.18586 4.05E-02 43.43901 43.9266 44.66696 45.8774 47.18586 48.45897 49.57684 50.23393 50.6561"
