Age
(m) L M S 3rd 5th 10th 25th 50th 75th 90th 95th 97th
0 -1.279791 3.086626 0.1317898 2.488774 2.54915 2.648968 2.837406 3.086626 3.392086 3.733604 3.978784 4.158854
1 -1.173744 3.943229 0.1347234 3.158731 3.238239 3.36957 3.617044 3.943229 4.340936 4.782399 5.096995 5.326705
2 -1.069749 4.755405 0.1375007 3.784707 3.883482 4.046474 4.352962 4.755405 5.243316 5.780787 6.160874 6.436761
3 -0.9710239 5.497105 0.1400316 4.347939 4.46538 4.658958 5.022135 5.497105 6.069566 6.695313 7.134466 7.451378
4 -0.8777268 6.162355 0.1422787 4.845731 4.980906 5.203448 5.619944 6.162355 6.812156 7.516937 8.007849 8.360119
5 -0.7867554 6.749956 0.1442222 5.278665 5.430495 5.68011 6.146006 6.749956 7.468815 8.242191 8.776751 9.158168
6 -0.6957475 7.26359 0.1458619 5.650826 5.818223 6.092993 6.604246 7.26359 8.042868 8.874022 9.443916 9.848178
7 -0.6022482 7.709012 0.1472072 5.967474 6.149447 6.447581 7.000318 7.709012 8.540096 9.418243 10.01524 10.43615
8 -0.5032343 8.092723 0.1482503 6.234151 6.429879 6.749828 7.340496 8.092723 8.967098 9.881476 10.49738 10.92881
9 -0.39992 8.422654 0.1490023 6.457896 6.666652 7.007009 7.632318 8.422654 9.332482 10.27346 10.90118 11.33793
10 -0.2963157 8.708815 0.1494989 6.647627 6.868722 7.228171 7.885119 8.708815 9.647592 10.6077 11.24202 11.68049
11 -0.1971679 8.962192 0.1497848 6.813093 7.045843 7.423133 8.10904 8.962192 9.92506 10.8993 11.53717 11.97541
12 -0.1070564 9.19271 0.1499082 6.963177 7.206851 7.600733 8.313183 9.19271 10.17642 11.16215 11.80237 12.23988
13 -2.92E-02 9.408478 0.1499144 7.10507 7.358884 7.768099 8.504918 9.408478 10.41114 11.40755 12.05032 12.48761
14 3.60E-02 9.616183 0.1498391 7.244118 7.507351 7.930795 8.690218 9.616183 10.6369 11.64425 12.29045 12.72848
15 8.94E-02 9.821157 0.1497101 7.384345 7.65637 8.093118 8.873796 9.821157 10.85976 11.87902 12.52993 12.96987
16 0.1317562 10.0258 0.1495531 7.527314 7.807569 8.256823 9.05768 10.0258 11.08252 12.11497 12.77196 13.21501
17 0.1645141 10.22882 0.1493924 7.67165 7.959576 8.420551 9.240548 10.22882 11.30389 12.35067 13.01498 13.46219
18 0.1889228 10.42725 0.1492413 7.81476 8.109758 8.581609 9.419591 10.42725 11.52063 12.58252 13.25508 13.70726
19 0.2059919 10.61957 0.1491107 7.955194 8.256661 8.738534 9.593331 10.61957 11.73111 12.80872 13.49027 13.9481
20 0.2167247 10.80638 0.1490089 8.093078 8.400479 8.891623 9.762228 10.80638 11.93604 13.02998 13.72126 14.18535
21 0.2220555 10.98723 0.1489395 8.227791 8.540625 9.040339 9.925803 10.98723 12.13492 13.2457 13.9473 14.41819
22 0.2231241 11.16122 0.1489019 8.358336 8.676143 9.183775 10.0832 11.16122 12.32672 13.45459 14.16691 14.64498
23 0.2214033 11.32632 0.1488871 8.482847 8.805197 9.320115 10.23254 11.32632 12.50904 13.65377 14.37683 14.86214
24 0.2171636 11.48232 0.1488906 8.601178 8.927639 9.44921 10.37368 11.48232 12.68162 13.84289 14.57665 15.06925
25 0.2093859 11.63046 0.1489092 8.714706 9.044793 9.572314 10.50781 11.63046 12.84589 14.02369 14.76836 15.26848
26 0.1963749 11.77341 0.1489368 8.826206 9.159355 9.692037 10.63748 11.77341 13.00485 14.19975 14.95601 15.46424
27 0.1766693 11.91375 0.1489696 8.938254 9.273847 9.810834 10.76513 11.91375 13.16143 14.37451 15.14349 15.6608
28 0.1501257 12.05319 0.149008 9.052221 9.389673 9.93017 10.89234 12.05319 13.31756 14.55021 15.33326 15.86075
29 0.1170727 12.19259 0.1490497 9.16868 9.507455 10.05073 11.01987 12.19259 13.47416 14.72783 15.52639 16.06524
30 7.80E-02 12.33273 0.1490922 9.2881 9.627723 10.17313 11.14843 12.33273 13.63208 14.90828 15.72381 16.27527
31 0.0336374 12.47371 0.1491407 9.410145 9.750227 10.29722 11.27805 12.47371 13.79142 15.09167 15.92565 16.49093
32 -1.50E-02 12.61489 0.1492009 9.533862 9.874091 10.42225 11.40805 12.61489 13.95152 15.27719 16.13102 16.71131
33 -0.0672961 12.75536 0.1492733 9.65831 9.998403 10.54731 11.53756 12.75536 14.11133 15.4637 16.33868 16.93513
34 -0.1232011 12.89472 0.1493561 9.783153 10.12284 10.6721 11.66624 12.89472 14.2704 15.65075 16.54827 17.16208
35 -0.1819437 13.03285 0.1494471 9.908027 10.24708 10.79637 11.79394 13.03285 14.42856 15.83803 16.75939 17.39172
36 -0.2418477 13.16895 0.1495364 10.03187 10.37018 10.9193 11.91993 13.16895 14.5847 16.02394 16.97 17.6217
37 -0.3020172 13.30218 0.1496221 10.15373 10.49122 11.04001 12.0434 13.30218 14.73781 16.20715 17.17853 17.85027
38 -0.3627037 13.43228 0.1497103 10.27337 10.60995 11.15827 12.16409 13.43228 14.88769 16.3876 17.38507 18.07761
39 -0.4234819 13.559 0.1498126 10.39024 10.72587 11.27361 12.28164 13.559 15.03414 16.56511 17.58944 18.30359
40 -0.4834462 13.68221 0.1499415 10.50368 10.83839 11.38558 12.39579 13.68221 15.17708 16.73955 17.79142 18.5279
41 -0.5415437 13.80245 0.1501044 10.61361 10.94754 11.49433 12.5069 13.80245 15.31712 16.9114 17.99131 18.75068
42 -0.5964828 13.92101 0.150301 10.7206 11.05397 11.6007 12.61605 13.92101 15.45559 17.08176 18.18992 18.97246
43 -0.6468045 14.0392 0.1505266 10.82523 11.15841 11.70557 12.72437 14.0392 15.59373 17.25153 18.38769 19.19323
44 -0.6915084 14.15852 0.1507723 10.92852 11.26192 11.81012 12.83324 14.15852 15.73305 17.42188 18.58536 19.41335
45 -0.7297994 14.28032 0.1510355 11.03127 11.36539 11.91536 12.94383 14.28032 15.87491 17.59394 18.78371 19.63322
46 -0.7606013 14.40573 0.1513085 11.13414 11.46956 12.02213 13.05717 14.40573 16.02037 17.76834 18.98281 19.85238
47 -0.782704 14.53556 0.1515813 11.23748 11.57484 12.13098 13.17397 14.53556 16.17006 17.9451 19.18197 20.06943
48 -0.7951096 14.67022 0.1518495 11.34127 11.68131 12.24209 13.29457 14.67022 16.32426 18.124 19.38031 20.28288
49 -0.7974164 14.80983 0.1521214 11.44525 11.78874 12.35531 13.41896 14.80983 16.48312 18.30503 19.57756 20.49218
50 -0.7894232 14.95436 0.1524037 11.54907 11.89684 12.47041 13.54702 14.95436 16.64665 18.48807 19.77344 20.69685
51 -0.7713825 15.10352 0.1526981 11.65239 12.00527 12.58708 13.67844 15.10352 16.81452 18.67277 19.96756 20.89651
52 -0.7443526 15.25649 0.1530079 11.7547 12.11348 12.70469 13.81251 15.25649 16.98595 18.85858 20.1597 21.09127
53 -0.7091072 15.41218 0.1533342 11.8552 12.22064 12.82237 13.94823 15.41218 17.15979 19.04446 20.34905 21.28057
54 -0.6665497 15.57012 0.1536748 11.95365 12.32648 12.93979 14.08521 15.57012 17.33556 19.23012 20.53564 21.46477
55 -0.6181112 15.72976 0.1540295 12.04997 12.43086 13.05672 14.22304 15.72976 17.5128 19.41552 20.71997 21.64495
56 -0.5656241 15.89036 0.1544021 12.14402 12.53352 13.17273 14.36108 15.89036 17.69086 19.60064 20.90278 21.82253
57 -0.5111258 16.05172 0.1547944 12.2363 12.63486 13.28804 14.49929 16.05172 17.8698 19.78623 21.08563 21.99984
